Word	AFINN	freq	avg_AFINN	sd_AFINN
garderoben	-2	1	-2.110	0.000
garjav	-3	2	-3.360	1.768
garnitura	0	16	-0.235	2.184
garsonjera	1	12	1.322	0.746
gas	0	8	-0.131	2.661
gasilec	0	92	-0.102	2.128
gasilen	1	5	0.702	2.577
gasilski	1	35	1.057	1.978
gasilstvo	-1	2	-0.860	1.768
gasiti	-1	6	-0.513	1.852
gastrointestinalen	-2	1	-2.110	0.000
gastronomski	3	2	2.890	0.000
gašenje	0	15	0.473	1.917
gašper	0	6	0.390	2.236
gaz	0	2	-0.235	0.884
gaza	0	18	0.468	2.880
gazela	3	68	3.127	1.318
ga.	0	19	0.478	2.141
gea	1	37	0.946	1.984
gej	0	1	0.390	0.000
gejevski	0	6	0.140	3.579
gejzir	-1	1	-0.860	0.000
gel	0	7	0.390	2.041
gema	-1	4	-1.381	2.509
gem	-2	34	-1.529	1.846
gen	1	117	0.845	1.756
generacija	1	115	0.858	2.239
generacijski	0	2	0.390	0.000
general	0	262	-0.253	2.446
generalen	0	727	0.073	1.717
generalka	1	2	1.223	0.589
generalski	-2	1	-2.110	0.000
generalštab	0	8	-0.391	1.326
generator	0	20	0.078	1.808
generičen	2	23	1.890	1.841
generika	0	2	0.390	3.536
generiran	0	3	0.390	0.000
generiranje	0	4	0.390	1.021
generirati	0	4	-0.443	1.443
genetski	2	1	1.640	0.000
genialen	-2	1	-2.110	0.000
genij	3	3	3.307	2.602
genius loci	-1	1	-0.860	0.000
genocid	0	7	0.211	2.925
genociden	0	1	0.390	0.000
genom	1	3	1.223	2.887
genotip	-1	1	-0.860	0.000
genotoksičnost	-5	1	-4.610	0.000
genski	3	4	2.578	1.573
geodet	-2	1	-2.110	0.000
geodetski	0	82	0.010	1.539
geodezija	0	2	-0.235	0.884
geofizikalen	2	3	1.640	1.250
geograf	2	2	1.640	1.768
geografija	2	2	1.640	1.768
geografski	2	26	1.816	1.905
geolog	0	2	0.390	3.536
geologija	-1	4	-1.172	1.875
geološki	1	14	0.926	1.678
geomehanski	2	1	1.640	0.000
geometričen	3	1	2.890	0.000
geometrija	3	1	2.890	0.000
geometrijski	0	1	0.390	0.000
geoplin	0	105	0.059	1.593
geopolitičen	0	6	-0.096	1.696
geostrateški	1	8	0.859	2.106
geotehnika	0	1	0.390	0.000
geotermalen	2	5	2.265	1.614
geo...	0	402	0.253	1.804
gepard	3	5	2.640	1.630
geranija	-2	1	-2.110	0.000
gerebica	-1	1	-0.860	0.000
germ	0	2	-0.027	1.179
geslo	0	58	-0.138	2.504
gesta	2	5	1.723	2.754
gestapovski	-2	1	-2.110	0.000
getoizacija	-2	1	-2.110	0.000
gez	3	1	2.890	0.000
gib	1	4	1.015	2.394
gibalen	3	1	2.890	0.000
gibalo	0	19	-0.268	1.775
gibanje	0	621	0.067	1.824
gibati	0	232	0.179	1.967
gibljaj	0	1	0.390	0.000
gibljiv	0	8	0.182	0.510
gibraltarski	0	1	0.390	0.000
gica	-1	1	-0.860	0.000
gigadžul	-1	5	-0.527	2.173
gigant	0	81	0.179	2.392
gigantski	3	3	3.307	0.722
gigavat	2	4	2.473	0.722
gigavaten	3	17	2.760	1.622
giga...	1	116	0.620	2.424
giljotina	-2	2	-2.110	0.000
gimnastičen	-2	1	-2.110	0.000
gimnazija	0	23	0.390	2.365
gimnazijec	0	1	0.390	0.000
gin	-1	2	-0.860	1.768
gina	0	7	-0.086	1.567
ginekolog	0	3	-0.443	3.819
ginekologija	4	2	4.140	1.768
ginekologinja	5	1	5.390	0.000
ginekološki	3	1	2.890	0.000
gip	-2	11	-2.375	1.091
girica	2	1	1.640	0.000
girlanda	3	1	2.890	0.000
gladek	2	5	2.390	1.896
gladiatorka	2	1	1.640	0.000
gladilo	3	1	2.890	0.000
gladina	0	103	-0.434	2.862
gladko...	1	6	1.223	1.882
gladovati	0	1	0.390	0.000
gladoven	0	20	-0.461	2.156
glagol	-1	1	-0.860	0.000
glamur	3	1	2.890	0.000
glamurozen	3	1	2.890	0.000
glas	0	402	0.368	1.586
glasba	1	55	1.460	2.218
glasben	1	38	1.449	2.005
glasbenica	2	3	2.057	1.443
glasbenik	1	13	1.352	1.851
glasen	-1	48	-1.112	1.786
glasilo	0	14	0.122	2.202
glasiti	1	24	0.546	1.859
glasovalec	0	3	0.390	0.000
glasovalen	0	179	-0.336	1.293
glasovanje	0	255	0.161	1.495
glasovati	0	321	0.038	1.378
glasoven	2	4	1.640	2.500
glasovnica	0	36	0.461	1.172
glasujoč	0	1	0.390	0.000
glava	-1	125	-0.793	2.229
glavač	-1	7	-1.039	1.519
glavačev	1	2	1.015	0.884
glavan	1	7	0.569	1.125
glavar	-1	4	-1.381	0.625
glavarina	0	1	0.390	0.000
glaven	0	1174	-0.068	2.053
glavica	1	5	0.640	3.354
glavič	0	7	0.390	0.000
glavina	-2	1	-2.110	0.000
glavnica	0	83	-0.353	1.562
glavniček	-2	1	-2.110	0.000
glavnina	1	37	0.638	1.653
glavobol	-2	15	-2.110	1.417
glazija	3	1	2.890	0.000
glazura	0	1	0.390	0.000
glažar	0	2	0.390	0.000
gled	0	1	0.390	0.000
gledalec	2	43	1.630	2.294
gledališče	1	24	1.171	2.267
gledališki	3	9	2.578	1.456
gledanje	-1	7	-0.681	2.095
gledanost	1	8	0.747	1.870
gledati	0	166	0.242	1.952
glede	0	4069	-0.108	1.786
gledišče	-1	1	-0.860	0.000
glen	1	13	0.845	1.508
gleženj	-2	4	-1.798	2.135
gliha	-2	2	-1.693	2.357
glikozid	0	1	0.390	0.000
glin	-1	2	-0.860	0.000
glinica	-2	1	-1.693	0.000
gliser	2	1	1.640	0.000
gliva	0	1	0.390	0.000
glivec	-1	3	-0.860	1.250
glivica	-4	3	-4.193	0.722
glivičen	-1	1	-0.860	0.000
globa	-1	72	-0.520	1.585
global	0	257	-0.480	1.723
globalen	0	300	-0.092	2.087
globalizacija	0	21	-0.006	1.942
globalizacijski	0	14	0.485	1.730
globaliziran	0	1	0.390	0.000
globalizirati	-1	2	-0.860	0.000
globalno	1	14	1.015	1.876
globati	-1	5	-0.610	1.046
globina	0	33	0.062	2.197
globinski	3	4	3.202	0.625
globok	-1	82	-1.080	2.161
globoko	-1	89	-1.404	2.192
globokomorski	-1	2	-0.860	3.536
globus	0	7	0.033	1.870
glodanje	-2	1	-2.110	0.000
glodavec	-3	1	-3.360	0.000
glos	2	1	2.057	0.000
glotis	-1	8	-1.172	0.884
gluh	0	34	-0.379	1.770
gluhonem	-4	3	-3.777	1.443
gmajna	0	7	-0.443	1.179
gmajnica	-2	2	-2.110	3.536
gmota	0	3	-0.443	1.443
gmoten	-1	10	-1.360	1.787
gnati	0	6	-0.443	1.021
gneča	0	66	-0.336	2.098
gnesti	0	1	0.390	0.000
gneten	0	1	0.390	0.000
gnetenje	-1	1	-0.860	0.000
gnetilen	2	1	1.640	0.000
gnezdeč	-2	1	-2.110	0.000
gnezdilka	-2	2	-2.110	0.000
gnezditi	0	2	0.390	3.536
gnezdo	0	10	0.140	2.751
gnidovec	0	1	0.390	0.000
gniloba	-2	4	-1.798	3.287
gniti	-3	4	-2.631	1.780
gnitje	2	3	1.640	1.250
gnjaviti	-1	1	-0.860	0.000
gnoj	0	3	0.390	0.000
gnojenje	0	1	0.390	0.000
gnojevka	-1	16	-1.201	2.567
gnojilo	0	10	0.251	2.375
gnojnica	-1	1	-0.860	0.000
gnusen	-1	1	-0.860	0.000
go	-1	12	-1.277	2.575
goba	-1	11	-0.721	1.705
gobar	0	1	0.390	0.000
gobarjenje	-2	1	-2.110	0.000
gobarski	0	2	0.390	3.536
gobček	-5	1	-4.610	0.000
gobec	-1	2	-0.860	1.768
god	0	12	0.286	2.096
godalec	0	1	0.390	0.000
godalen	0	1	0.390	0.000
godba	1	8	1.104	1.747
godben	3	1	2.890	0.000
godbeništvo	3	1	2.890	0.000
godčev	0	1	0.390	0.000
godec	0	49	0.095	1.734
godina	2	3	2.057	0.722
goditi	-1	26	-0.898	2.278
goditi	-1	26	-0.898	2.278
godovanje	3	2	2.890	0.000
gof	3	1	2.890	0.000
gojen	2	2	1.640	1.768
gojenje	-1	6	-0.610	2.710
gojišče	1	8	1.461	2.835
gojitelj	2	2	1.640	1.768
gojiti	1	20	0.515	2.522
gol	0	27	-0.351	2.358
golaž	3	1	2.890	0.000
gold.	0	17	-0.272	1.661
golec	0	1	0.390	0.000
golf	2	30	1.626	1.373
golfist	-2	1	-2.110	0.000
golfklub	0	2	0.390	0.000
golfov	3	1	2.890	0.000
golfski	-2	1	-2.110	0.000
goličnik	0	1	0.390	0.000
golja	0	1	0.390	0.000
goljat	0	1	0.390	0.000
goljuf	-3	12	-2.527	2.154
goljufanje	-1	3	-1.277	1.443
goljufati	-2	7	-1.574	2.023
goljufija	-2	94	-2.092	1.569
goljufiv	-2	4	-2.422	1.573
golob	0	98	-0.189	1.389
golobica	0	1	0.390	0.000
golobič	0	152	-0.376	1.200
golobov	-1	1	-0.860	0.000
golota	3	1	2.890	0.000
golovec	0	11	-0.065	2.112
golo...	0	280	-0.284	1.334
gomila	0	1	0.390	0.000
gondola	-2	2	-2.110	3.536
gondolski	-1	4	-1.485	1.250
gonilen	2	14	1.503	2.070
gonilo	1	12	0.598	2.172
goniti	3	1	2.890	0.000
gonja	-1	15	-1.110	1.152
goodyear	0	5	0.140	2.850
gor	0	23	0.307	1.721
gora	0	235	0.460	2.330
gorca	-1	4	-1.485	1.614
gorčica	1	1	1.223	0.000
gordijski	0	5	-0.143	1.484
gordon	0	9	0.371	1.557
gore	1	7	1.283	1.725
goreč	0	8	0.390	1.768
gorenje	0	920	0.391	2.818
gorenji	0	35	0.176	1.905
gorenjka	3	1	2.890	0.000
gorenjski	0	349	0.038	1.706
goreti	0	17	-0.469	2.611
gori	-1	2	-0.860	1.768
gorica	0	214	-0.050	2.010
goričan	2	3	1.640	1.250
gorila	2	1	1.640	0.000
gorilen	-1	1	-0.860	0.000
gorilnik	1	2	1.015	4.419
goriški	0	50	0.225	2.186
goriven	2	5	1.952	1.197
gorivo	0	726	-0.069	2.270
gorjanski	3	2	2.890	0.000
gorje	2	9	1.819	1.967
gorjup	0	24	-0.407	1.722
gorljiv	0	4	0.390	3.536
gornik	-2	2	-2.110	3.536
gornja	-5	1	-4.610	0.000
gornjegrajski	-2	1	-2.110	0.000
gornjeradgonski	0	1	0.390	0.000
gornjesavski	-1	1	-1.277	0.000
gornje...	-1	3	-0.999	1.273
gornji	0	36	0.211	1.991
gorovje	3	1	2.890	0.000
gorski	1	35	1.438	1.971
goršek	0	29	0.088	1.284
gosak	0	4	0.390	0.000
gosenica	-1	4	-1.485	3.146
gospa	-1	25	-0.519	2.384
gospod	-1	76	-0.698	1.526
gospodar	0	44	0.128	1.791
gospodaren	1	14	0.896	1.257
gospodariti	-1	5	-1.193	1.455
gospodarjenje	-1	26	-0.539	1.887
gospodarnost	0	27	-0.166	1.343
gospodarski	0	3897	-0.153	2.052
gospodarstvenik	0	154	0.109	1.822
gospodarstvo	0	3070	-0.068	2.007
gospodična	0	2	0.390	0.000
gospodinja	1	12	1.413	2.293
gospodinjski	0	74	0.384	2.290
gospodinjstvo	0	334	-0.284	2.011
gospodov	3	2	2.890	0.000
gosposki	-1	2	-0.860	1.768
gosposvetski	0	5	0.390	0.000
gosp.	-1	25	-0.519	2.384
gost	1	353	0.993	2.270
gostilna	1	19	0.515	2.543
gostilničar	3	1	2.890	0.000
gostinec	0	26	0.169	2.207
gostinski	-1	113	-0.690	2.118
gostinstvo	0	78	0.211	2.118
gostišče	0	3	-0.443	0.722
gostitelj	1	17	1.052	1.601
gostiteljica	2	2	1.640	1.768
gostiteljstvo	0	1	0.390	0.000
gostiti	1	56	1.194	2.081
gostja	1	9	0.760	2.238
gostoljuben	4	2	4.140	0.000
gostota	1	8	0.984	1.625
gostovanje	1	43	0.957	1.348
gostovati	0	15	0.379	1.743
gosto...	1	72	0.864	1.614
gostujoč	1	6	0.890	2.592
gošča	0	1	0.390	0.000
goščava	-1	1	-0.860	0.000
got	3	1	2.890	0.000
gotenski	0	1	0.390	0.000
gotov	-1	20	-0.672	1.781
gotovina	0	119	0.214	1.985
gotovinski	0	19	0.149	1.764
gotovo	0	151	-0.166	1.984
gotovost	-1	16	-0.521	2.014
govedina	0	10	0.390	1.531
govedo	-1	11	-1.110	1.748
govedoreja	0	1	0.390	0.000
govedorejec	0	1	0.390	0.000
goveji	0	5	-0.110	2.271
govor	0	116	0.041	1.951
govorec	0	11	0.026	1.925
govoren	0	3	0.390	0.000
govorica	-1	106	-0.643	1.643
govorilen	0	2	0.390	0.000
govorilnica	-1	4	-1.172	4.254
govoriti	0	868	-0.094	1.673
govorjenje	-1	14	-0.652	2.412
govornik	1	22	1.053	1.650
govorniški	-1	2	-1.485	2.652
govornost	-2	1	-2.110	0.000
gozd	0	107	0.215	2.245
gozdar	0	8	-0.079	3.269
gozdarski	0	18	0.169	2.264
gozdarstvo	0	46	0.248	2.005
gozden	0	44	-0.422	2.428
gozdiček	-2	1	-2.110	0.000
gozdnat	2	1	1.640	0.000
gozdno...	2	3	2.473	0.722
grabec	0	1	0.390	0.000
graben	0	5	-0.110	1.118
grabiti	0	1	0.390	0.000
grad	0	95	0.390	2.083
gradben	0	980	-0.458	2.093
gradbenik	0	19	-0.304	2.753
gradbeniški	-1	5	-0.610	1.046
gradbeništvo	-1	410	-0.843	2.174
gradbinec	-1	145	-1.099	1.889
gradbinka	2	3	2.057	1.443
gradbišče	-1	91	-1.117	2.093
gradec	0	148	-0.374	1.996
gradis	-1	139	-1.224	1.871
gradiščanski	-3	1	-3.360	0.000
gradišče	0	14	-0.146	1.362
graditelj	0	7	0.033	2.673
graditev	0	32	0.141	1.438
graditi	0	308	0.358	2.119
gradivo	0	134	-0.142	1.522
gradnik	3	4	3.202	2.577
gradnja	0	1197	0.277	1.920
graduacija	0	1	0.390	0.000
gradualist	0	1	0.390	0.000
gradualizem	0	4	-0.235	1.250
graf	0	21	-0.110	1.485
grafen	3	1	2.890	0.000
grafičen	2	20	1.508	2.120
grafika	0	12	0.265	0.395
grafikon	0	6	0.390	0.000
grafit	1	21	0.653	2.023
grafitar	2	2	1.640	1.768
grafitiranje	-2	2	-2.110	3.536
grafolog	0	2	-0.235	1.473
grafološki	0	2	-0.235	0.884
grafoskop	-2	1	-2.110	0.000
grah	4	4	4.452	0.625
graham	0	5	0.390	1.768
grahek	-1	20	-1.360	1.786
graj	-1	8	-0.622	0.755
graja	-1	8	-0.503	1.060
grajati	-2	1	-2.110	0.000
grajenje	1	3	0.807	1.909
grajski	3	7	2.890	1.443
gram	0	93	0.342	2.155
gramofon	1	2	1.015	0.884
gramoz	-2	3	-2.110	3.536
gramski	1	16	0.546	2.230
gram...	0	137	-0.051	2.258
gran	3	1	2.890	0.000
granata	-2	1	-2.110	0.000
grand	1	21	0.828	1.914
grandiozen	3	1	2.890	0.000
grand hotel	0	11	0.140	1.646
grand prix	2	2	2.265	0.884
granit	0	6	0.182	3.986
graniten	-2	1	-2.110	0.000
granulat	-3	1	-3.360	0.000
grapa	3	1	2.890	0.000
graščina	2	4	1.952	1.197
graški	-1	3	-0.999	2.055
gray	-1	1	-0.610	0.000
grb	3	4	2.890	2.041
grbavec	3	5	2.890	0.000
grbec	0	20	-0.148	1.329
grbina	-1	9	-0.999	0.751
grč	-2	2	-2.110	0.000
grča	0	1	0.390	0.000
grd	-2	11	-1.958	1.690
greben	-1	4	-1.485	2.394
grebsti	1	3	0.807	1.909
gred	2	2	1.640	1.768
greda	3	5	2.973	0.854
gregor	0	354	-0.129	1.615
gregorček	0	1	0.390	0.000
gregorijanski	1	3	0.807	0.722
greh	-2	34	-1.742	1.514
grelec	3	1	2.890	0.000
grelnik	2	10	1.515	2.792
gremij	0	1	0.390	0.000
grenek	-1	8	-1.016	1.407
greniti	-1	2	-1.485	0.884
grenivka	0	1	0.390	0.000
grenkoba	-2	2	-2.110	3.536
grešen	-1	6	-1.068	1.661
grešiti	-1	3	-1.416	0.636
grešnica	-1	2	-0.860	1.768
grešnik	-1	2	-0.860	1.768
greti	1	9	0.807	1.768
gretje	2	4	2.265	1.250
greznica	1	2	1.015	2.652
grič	2	5	2.140	1.677
griček	2	1	1.640	0.000
gričevje	4	1	4.140	0.000
gril	-1	28	-1.470	1.502
grill	0	5	-0.110	2.271
grilov	-2	43	-1.538	1.432
grip	-5	1	-4.610	0.000
gripa	-1	113	-0.740	3.050
gripozen	0	1	0.390	0.000
gristi	-2	1	-2.110	0.000
grivar	0	5	-0.110	2.092
grizač	4	1	4.140	0.000
grizlijev	-1	1	-0.860	0.000
griža	0	1	0.390	0.000
grk	0	55	-0.385	1.730
grlo	-1	12	-1.485	1.807
grm	1	15	0.557	1.766
grmada	3	1	2.890	0.000
grmek	0	1	0.390	0.000
grmeti	3	1	2.890	0.000
grmičevje	-1	1	-0.860	0.000
grmov	-1	1	-0.860	0.000
grmovje	-1	5	-1.110	1.369
grob	-1	56	-0.682	2.193
grobar	-1	5	-0.860	2.339
groben	-2	1	-2.110	0.000
grobišče	0	28	-0.060	2.069
grobnik	0	1	0.390	0.000
grodelj	2	1	1.640	0.000
grof	0	1	0.390	0.000
gromozanski	-1	8	-0.860	2.004
gros	0	19	0.061	1.605
grosist	0	30	-0.056	1.775
grosističen	-1	6	-0.860	1.118
grosupeljski	-1	12	-1.381	1.955
grotesken	3	1	2.890	0.000
groza	-3	2	-2.735	0.884
grozd	1	10	0.932	1.484
grozdje	2	5	1.640	2.795
grozen	-2	10	-2.168	1.606
grozilen	-2	7	-1.753	1.870
groziti	-2	310	-1.841	1.806
grozljiv	-1	9	-0.582	1.743
grozljivka	-2	1	-2.110	0.000
grozota	0	3	0.390	2.500
grozovitost	0	1	0.390	0.000
groženje	0	1	0.390	0.000
grožnja	-1	164	-1.366	1.931
grščina	1	1	1.223	0.000
grški	-1	504	-0.930	1.913
gruča	3	1	2.890	0.000
gruden	0	9	-0.304	1.545
grudnov	0	4	0.390	2.887
grum	1	10	0.668	0.833
grunt	-2	2	-2.110	1.768
grupa	1	20	0.890	1.472
grupacija	0	1	0.390	0.000
gruzijski	-1	16	-0.956	1.801
gr.	0	92	-0.216	2.016
guan	-1	2	-1.277	2.357
guba	0	1	0.390	0.000
gubanec	-1	5	-0.610	1.046
gubec	3	1	2.890	0.000
gubiti	-5	1	-4.610	0.000
guček	0	1	0.390	0.000
guess	-2	2	-2.110	0.000
guma	-1	15	-0.562	2.475
gumarski	0	18	-0.189	2.480
gumarstvo	0	10	0.140	1.419
gumb	2	11	2.322	0.859
gumen	-3	1	-3.360	0.000
gumi	-1	5	-0.860	1.768
gumija	-3	2	-3.360	1.768
gumijast	-1	6	-1.485	2.592
gumijev	-2	1	-2.110	0.000
guna	-2	1	-2.110	0.000
guncati	-5	1	-4.610	0.000
gurman	1	2	1.015	0.884
gurmanski	2	2	1.640	1.768
guru	0	10	0.334	2.361
gusarstvo	-5	1	-4.610	0.000
guverner	0	286	0.201	1.679
guvernerjev	-2	1	-2.110	0.000
guvernerka	2	2	1.640	1.768
guvernerski	0	4	0.078	1.573
guvernerstvo	1	2	1.432	0.295
gvant	2	2	1.640	1.768
gverila	3	2	2.890	0.000
gverilski	0	3	0.418	1.515
gvin	2	5	1.890	2.236
gvineja	0	4	-0.443	1.443
h	1	82	0.611	2.352
ha	-1	15	-1.128	1.711
haaški	1	16	0.723	1.797
habilitacija	3	1	2.890	0.000
habitat	0	3	0.390	2.165
habsburški	3	2	2.890	0.000
hadronski	-5	2	-4.610	0.000
haitijski	-2	2	-2.110	0.000
haj	0	1	0.390	0.000
hajdina	2	2	1.640	1.768
hak	-1	8	-1.396	1.747
hala	0	8	0.182	1.637
half	-3	1	-3.360	0.000
halo	0	19	0.258	2.079
haloga	1	9	1.223	0.884
halogenski	2	4	2.057	1.318
haloški	4	1	4.140	0.000
ham	0	9	-0.166	0.908
hamada	2	3	2.057	0.722
hamburger	0	5	-0.443	1.179
hamburški	0	1	0.390	0.000
han	0	18	-0.079	1.983
hangar	0	3	0.390	0.000
hangariranje	0	1	0.390	0.000
harač	0	3	-0.027	0.722
harmoničen	2	2	1.640	1.768
harmonija	2	3	2.057	1.443
harmonizacija	1	4	0.765	1.267
harmonizirati	1	2	0.598	0.295
harpuna	3	1	2.890	0.000
harvardski	1	3	0.807	3.608
hasan	-3	1	-3.360	0.000
hasek	-2	1	-2.110	0.000
hašiš	-2	1	-2.110	0.000
hauptman	-1	2	-0.860	0.000
havana	3	2	2.890	0.000
hazard	-1	8	-0.704	1.239
hazarder	-1	3	-0.860	1.250
hazarderski	3	1	2.890	0.000
hčerin	1	3	1.223	1.443
hčerinski	-1	477	-0.504	1.782
hčerka	-1	24	-1.311	2.106
hči	0	44	-0.172	2.438
he	0	36	0.377	1.769
heathrowski	2	1	1.640	0.000
hec	-1	1	-0.860	0.000
hecati	-1	1	-0.860	0.000
heej	0	1	0.390	0.000
heh	3	1	2.890	0.000
heinz	0	5	0.390	3.062
hej	0	1	0.390	0.000
heker	-2	20	-2.422	1.762
hekerski	-4	3	-4.193	0.722
hekerstvo	-2	1	-2.110	0.000
hektar	0	65	0.032	2.116
hektarski	3	1	2.890	0.000
hektoliter	-1	53	-0.578	2.183
hekto...	-1	53	-0.578	2.183
helenski	-3	2	-2.735	0.884
helij	2	8	2.473	0.645
helikopter	0	48	0.418	2.782
helikopterski	1	9	1.223	2.500
helios	0	102	0.278	2.369
helsinški	-2	1	-2.110	0.000
hematologija	0	1	0.390	0.000
hemo...	-2	3	-2.110	0.000
hendikepiran	-2	1	-2.110	0.000
henrik	1	13	0.557	1.420
henry	0	18	0.205	1.445
hep	2	5	1.973	2.173
hepatitis	-2	16	-1.798	2.003
herald	-1	1	-0.860	0.000
herbarij	3	1	2.890	0.000
herbicid	-1	7	-0.622	1.830
hercegovski	0	6	0.182	1.840
hermes	-2	1	-2.110	0.000
herodež	5	1	5.390	0.000
heroin	-3	9	-3.360	1.250
heroj	-2	2	-2.110	0.000
hes	-1	2	-0.860	0.000
het	3	1	2.890	0.000
heterocikličen	2	1	1.640	0.000
heterogen	0	4	-0.235	0.722
heterogenost	0	1	0.390	0.000
hetero...	0	6	0.182	0.941
hi	2	5	1.640	1.768
hiba	-1	2	-1.485	0.884
hibrid	1	9	0.557	2.037
hibriden	1	56	0.907	2.118
hidrat	2	4	2.265	1.250
hidravličen	0	5	0.140	2.236
hidroelektrarna	1	86	1.386	2.086
hidroenergetika	4	1	4.140	0.000
hidroenergetski	0	2	-0.235	2.652
hidroenergija	2	2	1.640	1.768
hidrogeološki	0	1	0.390	0.000
hidroizolacija	2	7	1.640	1.250
hidrolizat	2	2	1.640	1.768
hidrološki	1	5	0.890	4.012
hidromehanski	0	1	0.390	0.000
hidrometeorološki	2	1	1.640	0.000
hidromontaža	1	2	1.015	0.884
hidrooprema	3	1	2.890	0.000
hidrotehnik	0	1	-0.443	0.000
hidrotehnika	0	10	-0.443	1.250
hidro...	1	128	1.169	2.041
hierarhičen	-2	1	-2.110	0.000
hierarhija	-1	5	-0.610	2.236
higiena	1	22	1.104	1.959
higieničen	0	1	0.390	0.000
higieničnost	0	1	0.390	0.000
higienski	1	15	1.104	2.177
hilarija	3	1	2.890	0.000
himalaja	0	5	0.078	3.287
himalajski	3	2	2.890	0.000
himera	0	1	-0.443	0.000
himna	1	6	1.015	1.896
hin	-1	1	-0.860	0.000
hinavščina	-2	3	-2.110	0.000
hip	0	87	-0.060	2.228
hiperizkoriščanje	-2	1	-2.110	0.000
hipermarket	2	6	2.265	2.201
hiper...	1	9	1.223	2.421
hipodrom	-2	2	-2.110	0.000
hipokampus	0	1	0.390	0.000
hipokrizija	0	3	-0.166	1.147
hipoma	-2	1	-2.110	0.000
hipoteka	-1	107	-0.956	1.446
hipotekaren	-1	176	-0.695	2.029
hipotetičen	0	11	-0.481	1.028
hipoteza	1	3	0.529	0.241
hipo...	-1	313	-0.724	1.829
hiranje	-3	1	-3.360	0.000
hispanski	-4	2	-3.985	0.884
historičen	2	2	2.265	0.884
hiša	0	1234	-0.178	2.144
hišen	0	140	-0.008	1.940
hišica	0	13	0.182	1.982
hiška	0	3	-0.443	2.887
hišniški	3	1	2.890	0.000
hit	0	502	-0.250	1.916
hitenje	0	8	0.078	0.884
hiter	0	553	0.424	1.960
hiteti	1	20	0.682	1.463
hitrica	-2	1	-2.110	0.000
hitrorastoč	1	5	0.973	1.900
hitrost	0	184	0.278	2.411
hitrosten	1	5	1.140	1.677
hitro...	0	813	0.435	2.195
hitr.	0	619	0.473	2.135
hiv	-1	13	-0.974	3.034
hi-fi	2	1	1.640	0.000
hkraten	0	28	-0.342	1.721
hkrati	0	916	0.151	1.946
hlačati	-2	2	-2.110	3.536
hlače	0	14	0.301	2.375
hlačen	-2	1	-2.110	0.000
hlad	3	1	2.890	0.000
hladen	0	75	-0.421	2.014
hladilen	1	22	0.693	1.755
hladilnica	1	15	1.191	0.891
hladilnik	0	30	-0.205	2.269
hladilniški	2	1	1.640	0.000
hladilo	0	4	0.390	1.768
hladiti	2	6	1.640	1.581
hladnokrven	-3	1	-3.360	0.000
hlajenje	1	21	1.104	2.221
hlapec	0	2	-0.235	4.419
hlastanje	-1	2	-1.485	0.884
hlev	0	5	0.140	2.404
hlevski	-1	2	-0.860	1.768
hlod	0	3	-0.443	1.909
hlodovina	-1	11	-0.735	1.811
hm	-1	1	-0.860	0.000
hn	0	1	0.390	0.000
ho	2	4	1.952	1.812
hobotnica	0	1	-0.443	0.000
hočki	0	1	0.390	0.000
hod	2	1	1.640	0.000
hoditi	0	85	-0.010	2.261
hodnik	-1	17	-1.329	2.882
hodža	0	1	0.390	0.000
hoja	1	18	1.108	2.403
hojnik	0	7	-0.146	0.983
hokej	0	9	0.112	2.320
hokejist	1	11	0.617	1.752
hokejski	0	15	0.211	2.493
holandec	4	1	4.140	0.000
holding	0	1869	-0.280	1.692
holdingov	-1	2	-1.485	2.652
holdinški	0	48	-0.261	1.568
hole	3	1	2.890	0.000
holesterol	-2	5	-1.610	0.685
holističen	2	1	1.640	0.000
hollywoodski	2	3	1.640	2.165
holmec	0	4	0.078	0.625
hologram	3	7	2.533	0.945
holokavst	-1	6	-0.860	2.500
hom	0	1	0.390	0.000
homburg	-3	9	-2.527	1.398
homeopat	0	2	0.390	0.000
homeopatija	2	6	1.848	1.461
homeopatinja	0	1	0.390	0.000
homeopatski	2	13	1.736	1.570
homofob	-2	1	-2.110	0.000
homofoben	-5	1	-4.610	0.000
homofobija	-1	2	-0.860	5.303
homogen	1	3	1.223	3.819
homolog	-1	2	-0.860	1.768
homologacija	2	3	1.640	1.768
homologen	3	1	2.890	0.000
homologiran	-4	2	-3.985	0.884
homoseksualec	-2	8	-2.110	2.315
homoseksualnost	0	2	0.390	3.536
homo...	-1	27	-1.052	2.909
honda	-1	41	-0.774	2.611
hongkongški	-2	2	-2.110	0.000
hongkonški	-1	14	-0.860	3.734
honorar	-1	26	-1.363	1.883
honorarec	0	3	-0.027	0.722
honoraren	0	19	-0.246	2.202
honorirati	0	3	0.390	0.000
honved	-2	1	-2.110	0.000
hon.	2	9	1.501	3.773
hop	-1	3	-1.277	1.768
hora	-1	1	-0.860	0.000
hora legalis	-1	1	-0.860	0.000
horizont	0	6	0.251	0.974
horizontalen	1	3	1.223	1.443
hormon	0	4	0.390	3.536
hormonski	1	4	1.015	2.394
horoskop	0	2	0.390	0.000
hortikultura	0	1	0.390	0.000
horuk	-2	1	-2.110	0.000
hospic	2	9	1.640	1.890
hospital	3	1	2.890	0.000
hospitalen	-1	2	-0.860	1.768
hospitalizacija	-1	8	-1.329	2.210
hospitalizirati	-1	1	-0.860	0.000
hosta	0	2	0.390	0.000
